,ALink,SName,Lyric
18767,/bob-dylan/,Down the Highway,"Well, I'm walkin' down the highway
With my suitcase in my hand.
Yes, I'm walkin' down the highway
With my suitcase in my hand.
Lord, I really miss my baby,
She's in some far-off land.

Well, your streets are gettin' empty,
Lord, your highway's gettin' filled.
And your streets are gettin' empty
And your highway's gettin' filled.
Well, the way I love that woman,
I swear it's bound to get me killed.

Well, I been gamblin' so long,
Lord, I ain't got much more to lose.
Yes, I been gamblin' so long,
Lord, I ain't got much more to lose.
Right now I'm havin' trouble,
Please don't take away my highway shoes.

Well, I'm bound to get lucky, baby,
Or I'm bound to die tryin'.
Yes, I'm a-bound to get lucky, baby,
Lord, Lord I'm a-bound to die tryin'.
Well, meet me in the middle of the ocean
And we'll leave this ol' highway behind.

Well, the ocean took my baby,
My baby stole my heart from me.
Yes, the ocean took my baby,
My baby took my heart from me.
She packed it all up in a suitcase,
Lord, she took it away to Italy, Italy.

So, I'm a-walkin' down your highway
Just as far as my poor eyes can see.
Yes, I'm a-walkin' down your highway
Just as far as my eyes can see.
From the Golden Gate Bridge
All the way to the Statue of Liberty."
18768,/bob-dylan/,Dreamin' Of You,"The light
In this place
Is really bad
Like being
In the bottom
Of a stream
Any minute now
I'm expecting
To wake up
From a dream
Miss so much
The softest touch
Like the grave
Of some child child
Who neither wept
Nor smiled
I'm hiding my faith
In the rain
I've been
Dreamin' of you
That's all I do
And it's
Driving me insane

Somewhere dawn
Is breaking
Light is streaking
Across the floor
Church bells
Are ringing
I wonder who
They're ringing for
Travel under any star
You'll see me
Wherever you are
The shadowy past
Is so vague and so vast
I'm sleeping
In the balance of pain
I've been dreamin' of you
That's all I do
But it's
Driving me insane

Maybe they'll get me
Maybe they won't
But whatever
It won't be tonight
I wish your hand
Was in mine right now
We could go
Where the moon is wide
For years
They had me
Locked in a cage
Then they threw me
Onto the stage
Somethings
Just last longer
Then you
Thought they would
And they never
Ever explain
I'm dreamin' of you
That's all I do
And it's
Driving me insane

Well
I eat when I'm hungry
Drink when I'm dry
Live my life
On the square
Even if the flesh
Falls off my face
It won't matter as long
As you're there

Feel like
A ghost in love
Underneath
The heavens above
Feel further away
Then I ever did before
Feel further
Than I can take
Dreamin' of you
That's all I do
But it's
Driving me insane

Everything in the way
Is so shy like the day
In queer and unusual form
Spirals of golden haze here
In there in a blaze
Like beams of light
In a star

Maybe you're here
Or maybe you weren't
Maybe you
Touched somebody
And got burned
The silent sun
Has got me on the run
Burning a hole
In my brain
I'm dreamin' of you
That's all I do
But it's
Driving me insane"
18769,/bob-dylan/,Drifter's Escape,"""Oh, help me in my weakness,""
I heard the drifter say,
As they carried him from the courtroom
And were taking him away.
""My trip hasn't been a pleasant one
And my time it isn't long,
And I still do not know
What it was that I've done wrong.""

Well, the judge, he cast his robe aside,
A tear came to his eye,
""You fail to understand,"" he said,
""Why must you even try?""
Outside, the crowd was stirring,
You could hear it from the door.
Inside, the judge was stepping down,
While the jury cried for more.

""Oh, stop that cursed jury,""
Cried the attendant and the nurse,
""The trial was bad enough,
But this is ten times worse.""
Just then a bolt of lightning
Struck the courthouse out of shape,
And while ev'rybody knelt to pray
The drifter did escape.
"
18770,/bob-dylan/,Driftin' Too Far from Shore,"I didn't know that you'd be leavin'
Or who you thought you were talkin' to.
I figure maybe we're even
Or maybe I'm one up on you.

I send you all my money
Just like I did before.
I tried to reach you honey,
But you're driftin' too far from shore.

Driftin' too far from shore
Driftin' too far from shore
Driftin' too far from shore
Driftin' too far from shore

I ain't gonna get lost in this current,
I don't like playing cat and mouse.
No gentleman likes making love to a servant.
Especially when he's in his father's house.

I never could guess your weight, baby,
Never needed to call you my whore.
I always thought you were straight, baby,
But you're driftin' too far from shore.

Driftin' too far from shore
Driftin' too far from shore
Driftin' too far from shore
Driftin' too far from shore

Well these times and these tunnels are haunted,
The bottom of the barrel is too.
I waited years sometimes for what I wanted.
Everybody can't be as lucky as you.

Never no more do I wonder,
Why you don't never play with me any more.
At any moment you could go under,
'Cause you're driftin' too far from shore.

Driftin' too far from shore
Driftin' too far from shore
Driftin' too far from shore
Driftin' too far from shore

You and me we had completeness,
I give you all of what I could provide
We weren't on the wrong side, sweetness,
We were the wrong side.

I've already ripped out the phones, honey.
You can't walk the streets in a war.
I can finish this alone, honey,
You're driftin' too far from shore.
"
18771,/bob-dylan/,Duncan & Brady,"Twinkle, twinkle, twinkle, little star
Up comes brady in a 'lectric car
Got a mean look all 'round his eye
Gonna shoot somebody jus' to see them die
Duncan, duncan was tending the bar
In walked brady with a shining star

And brady says, ""duncan you are under arrest
And duncan shot a hole in brady's breast
Brady, brady carried a '45
Said it would shoot half a mile
Duncan had a '44
That what laid mr. Brady so low

Brady fell down on the barroom floor
""Please mr. Duncan don' shoot me no more
Women all cryin, ain't it a shame
Shot king brady, goin' shoot him again
""Brady, brady, brady, you know you done wrong
Walkin' in the room when the game was goin' on

Knockin down windows, breakin' down the door
Now you lyin' dead on the grocery [barroom] floor
Women all heard that brady was dead
Goes back home and they dresses in red
Come a snifflin' and a sighin' down the street
In their big mother hubbards and their stockin' feet"
18772,/bob-dylan/,Duquesne Whistle,"Listen to that Duquesne whistle blowing
Blowing like it's gonna sweep my world away
I wanna stop at Carmangale and keep on going
That Duquesne train gon' rock me night and day

You say I'm a gambler, you say I'm a pimp
But I ain't neither one

Listen to that Duquesne whistle blowing
Sounding like it's on a final run

Listen to that Duquesne whistle blowing
Blowing like she never blowed before
Blue little light blinking, red light glowing
Blowing like she's at my chamber door

You smiling through the fence at me
Just like you always smiled before

Listen to that Duquesne whistle blowing
Blowing like she ain't gon' blow no more

Can't you hear that Duquesne whistle blowing?
Blowing like the sky's gonna blow apart
You're the only thing alive that keeps me going
You're like a time bomb in my heart

I can hear a sweet voice steadily calling
Must be the mother of our lor'

Listen to that Duquesne whistle blowing
Blowing like my woman's on board

Listen to that Duquesne whistle blowing
Blowing like it's gon' blow my blues away
You old rascal, I know exactly where you're going
I'll lead you there myself at the break of day

I wake up every morning with that woman in my bed
Everybody telling me she's gone to my head

Listen to that Duquesne whistle blowing
Blowing like it's gon' kill me dead

Can't you hear that Duquesne whistle blowing?
Blowing through another no good town

The lights on my lady's land are glowing
I wonder if they'll know me next time 'round
I wonder if that old oak tree's still standing
That old oak tree, the one we used to climb

Listen to that Duquesne whistle blowing
Blowing like she's blowing right on time"
18773,/bob-dylan/,Early Mornin' Rain,"In the early mornin' rain
with a dollar in my hand
with an achin' in my heart
and my pockets full of sand
I'm a long way from home
and I missed my loved on so
in the early mornin' rain
and no place to go

Out on runway number nine
Big seven-o-seven set to go
well, I'm stuck here on the ground
where the cold winds blow
the liquor tasted good
and the women all were fast
there she goes, my friend
she's a rollin' down at last

Here the mighty engines roar
see the silver bird on high
she's away in westward bound
far above the clouds she'll fly
where the mornin' rain don't fall
and the sun always shines
she'll be flyin' over my home
in about three hours time

This old airports got me down
it's no earthly good to me
'cause I'm stuck here on the ground
cold and drunk as I might be
you can't hop a jet plane
like you can a freight train
so I best be on my way
in the early mornin' rain

from ""Bob Dylan - Self Portrait"" , copyright by Big Sky Music, Published by Bob Dylan Words & Music Company, Inc. 1970
"
18774,/bob-dylan/,Early Roman Kings,"All the early Roman kings
In their shark skin suits
Bow ties and buttons
High top boots
Drivin' the spikes in
Blazin' the rails
Nailed in their coffins
Top hats and tails
Fly away over
Fly away flap your wings
Fly by night
Like the early Roman kings

They're peddlers and they're meddlers
They buy and they sell
They destroyed your city
They'll destroy you as well
They're lecherous and treacherous
A-Hell bent for leather
Each of 'em bigger
Than all men put together
Sluggers and muggers
Wearin' fancy gold rings
All the women going crazy
For the early Roman kings"
18775,/bob-dylan/,Emotionally Yours,"Come baby, find me, come baby, remind me of where I once begun.
Come baby, show me, show me you know me, tell me you're the one.
I could be learning, you could be yearning to see behind closed doors.
But I will always be emotionally yours.

Come baby, rock me, come baby, lock me into the shadows of your heart.
Come baby, teach me, come baby, reach me, let the music start.
I could be dreaming but I keep believing you're the one I'm livin' for.
And I will always be emotionally yours.

It's like my whole life never happened,
When I see you, it's as if I never had a thought.
I know this dream, it might be crazy,
But it's the only one I've got.

Come baby, shake me, come baby, take me, I would be satisfied.
Come baby, hold me, come baby, help me, my arms are open wide.
I could be unraveling wherever I'm traveling, even to foreign shores.
But I will always be emotionally yours.
"
18776,/bob-dylan/,Endless Highway,"J. R. Robertson

Take a silver dollar and put it in your pocket,
Never let it slip away.
Always be a man, not a boy gone astray.
When ya get half cra-zy from the August heat
Or on a frozen, rotted road
With no one to complain to about your achin' feet.

CHORUS:
You're gonna walk that endless highway,
Walk that high-way till you die.
All you children goin' my way,
Better tell your home-life sweet goodbye.

When I see a detour up ahead,
Well, I leave it far behind,
Who knows what you're apt to find there.
With the cost of livin, and the price of dyin',
Well it look like t'me this time I wont be buyin'

CHORUS

When they get a scapegoat by the throat,
it's hard labour and cold beans.
If ya get away real quick,
You'll be eatin from the poison peanut machine.
Well, I sing by night, wander by day.
I'm on the road and it looks like I'm here to stay.

CHORUS
"
18777,/bob-dylan/,Eternal Circle,"I sang the song slowly
As she stood in the shadows
She stepped to the light
As my silver strings spun
She called with her eyes
To the tune I's a-playin'
But the song it was long
And I'd only begun

Through a bullet of light
Her face was reflectin'
The fast fading words
That rolled from my tongue
With a long-distance look
Her eyes was on fire
But the song it was long
And there was more to be sung.

My eyes danced a circle
Across her clear outline
With her head tilted sideways
She called me again
As the tune drifted out
She breathed hard through the echo
But the song it was long
And it was far to the end

I glanced at my guitar
And played it pretendin'
That of all the eyes out there
I could see none
As her thoughts pounded hard
Like the pierce of an arrow
But the song it was long
And it had to get done

As the tune finally folded
I laid down the guitar
Then looked for the girl
Who'd stayed for so long
But her shadow was missin'
For all of my searchin'
So I picked up my guitar
And began the next song
"
18778,/bob-dylan/,Eve of Destruction,"The eastern world it is explodin',
Violence flarin', bullets loadin',
You're old enough to kill but not for votin',
You don't believe in war, what's that gun you're totin',
And even the Jordan river has bodies floatin',
But you tell me over and over and over again my friend,
Ah, you don't believe we're on the eve of destruction.

Don't you understand, what I'm trying to say?
Can't you see the fear that I'm feeling today?
If the button is pushed, there's no running away,
There'll be no one to save with the world in a grave,
Take a look around you, boy, it's bound to scare you, boy,
And you tell me over and over and over again my friend,
Ah, you don't believe we're on the eve of destruction.

Yeah, my blood's so mad, feels like coagulatin',
I'm sittin' here, just contemplatin',
I can't twist the truth, it knows no regulation,
Handful of Senators don't pass legislation,
And marches alone can't bring integration,
When human respect is disintegratin',
This whole crazy world is just too frustratin',
And you tell me over and over and over again my friend,
Ah, you don't believe we're on the eve of destruction.

Think of all the hate there is in Red China!
Then take a look around to Selma, Alabama!
Ah, you may leave here, for four days in space,
But when your return, it's the same old place,
The poundin' of the drums, the pride and disgrace,
You can bury your dead, but don't leave a trace,
Hate your next-door-neighbour, but don't forget to say grace,
And you tell me over and over and over and over again my friend,
you don't believe we're on the eve of destruction.
you don't believe we're on the eve of destruction.
"
18779,/bob-dylan/,Every Grain of Sand,"In the time of my confession, in the hour of my deepest need
When the pool of tears beneath my feet flood every newborn seed
There's a dyin' voice within me reaching out somewhere,
Toiling in the danger and in the morals of despair.

Don't have the inclination to look back on any mistake,
Like Cain, I now behold this chain of events that I must break.
In the fury of the moment I can see the Master's hand
In every leaf that trembles, in every grain of sand.

Oh, the flowers of indulgence and the weeds of yesteryear,
Like criminals, they have choked the breath of conscience and good cheer.
The sun beat down upon the steps of time to light the way
To ease the pain of idleness and the memory of decay.

I gaze into the doorway of temptation's angry flame
And every time I pass that way I always hear my name.
Then onward in my journey I come to understand
That every hair is numbered like every grain of sand.

I have gone from rags to riches in the sorrow of the night
In the violence of a summer's dream, in the chill of a wintry light,
In the bitter dance of loneliness fading into space,
In the broken mirror of innocence on each forgotten face.

I hear the ancient footsteps like the motion of the sea
Sometimes I turn, there's someone there, other times it's only me.
I am hanging in the balance of the reality of man
Like every sparrow falling, like every grain of sand.
"
18780,/bob-dylan/,Everybody Must Get Stoned,"They'll stone you when you're trying to be so good
They'll stone you just like they said they would
They'll stone you when you're trying to go home
They'll stone you when you're there all alone
But I would not feel so all alone
Everybody must get stoned

They'll stone you when you're walking on the street
They'll stone you when you're trying to keep your seat
They'll stone you when your walking on the floor
They'll stone you when your walking to the door
But I would not feel so all alone
Everybody must get stoned

They'll stone you when you're at the breakfast table
They'll stone you when you are young and able
They'll stone you when you're trying to make a buck
They'll stone you and then they'll say good luck
But I would not feel so all alone
Everybody must get stoned

Well They'll stone you and say that it's the end
They'll stone you and then they'll come back again
They'll stone you when you're riding in your car
They'll stone you when you're playing you guitar
Yes But I would not feel so all alone
Everybody must get stoned
Alright

Well They'll stone you when you are all alone
They'll stone you when you are walking home
They'll stone you and then say they're all brave
They'll stone you when you're send down in your grave
But I would not feel so all alone
Everybody must get stoned

Correct Title of Song- Rainy Day Woman #12 and #35 (?)
"
18781,/bob-dylan/,Everything is Broken,"Broken lines, broken strings,
Broken threads, broken springs,
Broken idols, broken heads,
People sleeping in broken beds.
Ain't no use jiving
Ain't no use joking
Everything is broken.

Broken bottles, broken plates,
Broken switches, broken gates,
Broken dishes, broken parts,
Streets are filled with broken hearts.
Broken words never meant to be spoken,
Everything is broken.

Bridge: Seem like every time you stop and turn around
Something else just hit the ground

Broken cutters, broken saws,
Broken buckles, broken laws,
Broken bodies, broken bones,
Broken voices on broken phones.
Take a deep breath, feel like you're chokin',
Everything is broken.

Bridge: Every time you leave and go off someplace
Things fall to pieces in my face

Broken hands on broken ploughs,
Broken treaties, broken vows,
Broken pipes, broken tools,
People bending broken rules.
Hound dog howling, bull frog croaking,
Everything is broken.
"
18782,/bob-dylan/,False Prophet,"Another day that don't end
Another ship goin' out
Another day of anger, bitterness, and doubt
I know how it happened
I saw it begin
I opened my heart to the world and the world came in

Hello Mary Lou
Hello Miss Pearl
My fleet-footed guides from the underworld
No stars in the sky shine brighter than you
You girls mean business and I do too

Well I'm the enemy of treason
Enemy of strife
Enemy of the unlived meaningless life
I ain't no false prophet
I just know what I know
I go where only the lonely can go

I'm first among equals
Second to none
Last of the best
You can bury the rest
Bury 'em naked with their silver and gold
Put them six feet under and pray for their souls

What are you lookin' at
There's nothing to see
Just a cool breeze that's encircling me
Let's go for a walk in the garden
So far and so wide
We can sit in the shade by the fountain-side

I search the world over
For the Holy Grail
I sing songs of love
I sing songs of betrayal
Don't care what I drink
Don't care what I eat
I climbed the mountains of swords on my bare feet

You don't know me darlin'
You never would guess
I'm nothing like my ghostly appearance would suggest
I ain't no false prophet
I just said what I said
I'm just here to bring vengeance on somebody's head

Put out your hand
There's nothing to hold
Open your mouth
I'll stuff it with gold
Oh you poor devil look up if you will
The city of God is there on the hill

Hello stranger
A long goodbye
You ruled the land
But so do I
You lost your mule
You got a poison brain
I'll marry you to a ball and chain

You know darlin'
The kind of life that I live
When your smile meets my smile something's got to give
I ain't no false prophet
No I'm nobody's bride
Can't remember when I was born
And I forgot when I died"
18783,/bob-dylan/,Farewell Angelina,"Farewell Angelina
The bells of the crown
Are being stolen by bandits
I must follow the sound
The triangle tingles
And the trumpet play slow
Farewell Angelina
The sky is on fire
And I must go.

There's no need for anger
There's no need for blame
There's nothing to prove
Ev'rything's still the same
Just a table standing empty
By the edge of the sea
Farewell Angelina
The sky is trembling
And I must leave.

The jacks and queens
Have forsaked the courtyard
Fifty-two gypsies
Now file past the guards
In the space where the deuce
And the ace once ran wild
Farewell Angelina
The sky is folding
I'll see you in a while.

See the cross-eyed pirates sitting
Perched in the sun
Shooting tin cans
With a sawed-off shotgun
And the neighbors they clap
And they cheer with each blast
Farewell Angelina
The sky's changing color
And I must leave fast.

King Kong, little elves
On the rooftoops they dance
Valentino-type tangos
While the make-up man's hands
Shut the eyes of the dead
Not to embarrass anyone
Farewell Angelina
The sky is embarrassed
And I must be gone.

The machine guns are roaring
The puppets heave rocks
The fiends nail time bombs
To the hands of the clocks
Call me any name you like
I will never deny it
Farewell Angelina
The sky is erupting
I must go where it's quiet.
"
18784,/bob-dylan/,Father of Night,"Father of night, Father of day,
Father, who taketh the darkness away,
Father, who teacheth the bird to fly,
Builder of rainbows up in the sky,
Father of loneliness and pain,
Father of love and Father of rain.

Father of day, Father of night,
Father of black, Father of white,
Father, who build the mountain so high,
Who shapeth the cloud up in the sky,
Father of time, Father of dreams,
Father, who turneth the rivers and streams.

Father of grain, Father of wheat,
Father of cold and Father of heat,
Father of air and Father of trees,
Who dwells in our hearts and our memories,
Father of minutes, Father of days,
Father of whom we most solemnly praise.
"
18785,/bob-dylan/,Final Theme,Instrumental
18786,/bob-dylan/,Fixin' to Die,"(First releaseâ€”Booker T. Washington (Bukka) White)

Feeling funny in my mind, Lord,
I believe I'm fixing to die
Feeling funny in my mind, Lord
I believe I'm fixing to die
Well, I don't mind dying
But I hate to leave my children crying
Well, I look over yonder to that burying ground
Look over yonder to that burying ground
Sure seems lonesome, Lord, when the sun goes down

Feeling funny in my eyes, Lord,
I believe I'm fixing to die, fixing to die
Feeling funny in my eyes, Lord
I believe I'm fixing to die
Well, I don't mind dying but
I hate to leave my children crying
There's a black smoke rising, Lord
It's rising up above my head, up above my head
It's rising up above my head, up above my head
And tell Jesus make up my dying bed.

I'm walking kind of funny, Lord
I believe I'm fixing to die, fixing to die
Yes I'm walking kind of funny, Lord
I believe I'm fixing to die
Fixing to die, fixing to die
Well, I don't mind dying
But I hate to leave my children crying.
"
18787,/bob-dylan/,Fixin' To Die Blues,"Feeling funny in my mind, Lord,
I believe I'm fixing to die, fixing to die
Feeling funny in my mind, Lord,
I believe I'm fixing to die
Well, I don't mind dying
But I hate to leave my childen crying
Well, look over yonder to that burying ground
Look over yonder yonder to that burying ground
Sure seems lonesome, Lord, when the sun goes down.

Feeling funny in my eyes, Lord,
I believe I'm fixing to die, fixing to die
Feeling funny in my eyes, Lord,
I believe I'm fixing to die
Well, I don't mind dying
But I hate to leave my children crying
There's a black smoke rising, Lord,
It's rising up above my head, up above my head
It's rising up above my head, up above my head
And tell Jesus make up my dying bed.

I'm walking kind of funny, Lord
I believe I'm fixing to die, fixing to die
Yes, I'm walking kind of funny, Lord
I believe I'm fixing to die
Fixing to die, fixing to die
Well, I don't mind dying But I hate to leave my children crying."
18788,/bob-dylan/,Floater (Too Much To Ask),"Words and music by Bob Dylan

Down over the window
From the dazzling sunlit place
Through the back alleys, through the blinds
Another one of the Memphis days

Honey bees are buzzing
Leaves begin to stir
I'm in love with my second cousin
I tell myself I could be happy forever with her

I keep listening for footsteps
But I ain't never hearing any
From the boat, I fish for bullheads
I catch a lot, sometimes too many

A summer breeze is blowin'
A squall is setting in
Sometimes it's just plain stupid
To get into any kind of wind

Well the old men 'round here
Sometimes they get on bad terms
With the younger men,
Old, young, age don't carry weight
It doesn't matter in the end

One of the boss' hangers-on
Sometimes comes to call
At times you least expect
Tryin' to bully you, strongarm you,
Inspire you with fear
It has the opposite effect

There's a new grove of trees on the outskirts of town
The other one is long gone
10 foot, 2 foot, 6 across
Burns with the bark still on

They say times are hard
If you don't believe it you can follow your nose
It don't bother me, times are hard anywhere
We'll just have to see how it goes

My old man, he's like some feudal lord
He's got more lives than a cat
I've never seen him quarrel with my mother even once
Things come alive or they fall flat

You can smell the pine wood burnin'
You can hear the school bell ring
Got to get up near the teacher, if you can
If you wanna learn anything

Romeo, he said to Juliet, you got a poor complexion
That don't give your appearance a very youthful touch
Juliet said back to Romeo,
Why don't you just shove off,
If it bothers you so much

They all got outta here any way they could
Cold rain can give you the shivers
They went down the Ohio, the Cumberland, the Tennessee,
All the rest of them rebel rivers

If you ever try to interfere with me
Or cross my path again,
You do so at the peril of your life
I'm not quite as cool, or forgiving as I sound
I've seen enough heartache and strife

My grandfather was a duck trapper,
He could do it with just dragnets and ropes
My grandmother could sew new dresses out of old cloth,
I don't know if they had any dreams or hopes

I had 'em once, though I suppose
To go along with all the ring dancing,
Christmas carols and all the Christmas eves
I left all my dreams and hopes
Buried under tobacco leaves

Not always easy kicking someone out
Got to wait awhile, it can be an unpleasant task
Sometimes somebody wants you to give something up
And tears or not, it's too much to ask

"
18789,/bob-dylan/,Foot of Pride,"Like the lion tears the flesh off of a man
So can a woman who passes herself off as a male
They sang ""Danny Boy"" at his funeral and the Lord's Prayer
Preacher talking 'bout Christ betrayed
It's like the earth just opened and swallowed him up
He reached too high, was thrown back to the ground
You know what they say about bein' nice to the right people on the way up
Sooner or later you gonna meet them comin' down

Well, there ain't no goin' back when your foot of pride come down
Ain't no goin' back

Hear ya got a brother named James, don't forget faces or names
Sunken cheeks and his blood is mixed
He looked straight into the sun and said revenge is mine
But he drinks, and drinks can be fixed
Sing me one more song, about ya love me to the moon and the stranger
And your fall by the sword love affair with Erroll Flynn
in these times of compassion when conformity's in fashion
Say one more stupid thing to me before the final nail is driven in.

Well, there ain't no goin' back when your foot of pride come down
Ain't no goin' back

There's a retired businessman named Red, cast down from heaven and he's out of his head
He feeds off of everyone that he can touch
He said he only deals in cash or sells tickets to a plane crash
He's not somebody that you play around with much
Miss Delilah is his, a Philistine is what she is
She'll do wondrous works with your fate
Feed you coconut bread, spice buns in your bed
If you don't mind sleepin' with your head face down in a grave.

Well, there ain't no goin' back when your foot of pride come down
Ain't no goin' back

Well they'll choose a man for you to meet tonight
You'll play the fool and learn how to walk through doors
How to enter into the gates of paradise
No, how to carry a burden too heavy to be yours
Yeah, from the stage they'll be tryin' to get water outta rocks
A whore will pass the hat, collect a hundred grand and say thanks
They like to take all this money from sin, build big universities to study in
Sing ""Amazing Grace"" all the way to the Swiss banks

Well, there ain't no goin' back when your foot of pride come down
Ain't no goin' back

They got some beautiful people out there, man
They can be a terror to your mind and show you how to hold your tongue
They got mystery written all over their forehead
They kill babies in the crib and say only the good die young
They don't believe in mercy
Judgment on them is something that you'll never see
They can exalt you up or bring you down main route
Turn you into anything that they want you to be

Well, there ain't no goin' back when your foot of pride come down
Ain't no goin' back

Yes, I guess I loved him too
I can still see him in my mind climbin' that hill
Did he make it to the top, well he probably did and dropped
Struck down by the strength of the will
Ain't nothin' left here partner, just the dust of a plague that has left this whole town afraid
From now on, this'll be where you're from
Let the dead bury the dead. Your time will come
Let hot iron blow as he raised the shade

Well, there ain't no goin' back when your foot of pride come down
Ain't no goin' back
"
18790,/bob-dylan/,Forever Young (continued),"May God bless and keep you always,
May your wishes all come true,
May you always do for others
And let others do for you.
May you build a ladder to the stars
And climb on every rung,
May you stay forever young,
Forever young, forever young,
May you stay forever young.

May you grow up to be righteous,
May you grow up to be true,
May you always know the truth
And see the lights surrounding you.
May you always be courageous,
Stand upright and be strong,
May you stay forever young,
Forever young, forever young,
May you stay forever young.

May your hands always be busy,
May your feet always be swift,
May you have a strong foundation
When the winds of changes shift.
May your heart always be joyful,
May your song always be sung,
May you stay forever young,
Forever young, forever young,
May you stay forever young."
18791,/bob-dylan/,Forgetful Heart,"Forgetful heart
Lost your power of recall
Every little detail
You don't remember at all
The times we knew
Who would remember better then you

Forgetful heart
We laughed and had a good time you and I
It's been so long
Now you're content to let the days go by
When you were there
You were the answer to my prayer

Forgetful heart
We loved with all the love that life can give
What can I say
Without you it's so hard to live
Can't take much more
Why can't we love like we did before

Forgetful heart
Like a walking shadow in my brain
All night long
I lay awake and listen to the sound of pain
The door has closed forevermore
If indeed there ever was a door"
18792,/bob-dylan/,Four Strong Winds,"Four strong winds that blow lonely
Seven seas that run high
All these things that won't change
Come what may
But the good times all are gone
And I'm bound for movin' on
I'll look for you if you ever come this way

Think I'll go down to alberta
Where there's good there in the fall
I've got some friends that I can go workin' for
But I wish you'd change your mind
If I ask you one more time
But we've been through that a hundred times or more

Four strong winds that blow lonely
Seven seas that run high
All these things that don't change
Come what may
But the good times are all gone
And I'm bound for movin' on
I'll look for you if you ever come this way

(A few lines are inaudible)
But by then it would be springtime
There ain't too much for you to do
So I see you when I pass this way again

Four strong winds that blow lonely
Seven seas that run high
All these things that won't change
Come what may
But the good times are all gone
And I'm bound for movin' on
I'll look for you if I'm ever back this way"
18793,/bob-dylan/,Frankie And Albert,"1. Frankie was a good girl.
Everybody knows.
Paid one hundred dollars
For Albert's new suit of clothes.
He was her man but he done her wrong.

2. Albert said, ""I'm leaving you.
Won't be gone for long.
Don't wait up for me.
A-worry about me when I'm gone.""
He was her man but he done her wrong.

3. Frankie went down to the corner saloon.
Get a bucket of beer.
Said to the bartender.
""Has my lovin' man been here?""
He was her man but he done her wrong.

Instrumental

4. ""Well, I ain't gonna tell you no stories.
I ain't gonna tell you no lies.
I saw Albert an hour ago.
With a gal named Alice Bly.""
He was her man but he done her wrong.

5. Frankie went down to 12th Street.
Lookin' up through the window high.
She saw her Albert there.
Lovein' up Alice Bly.
He was her man but he done her wrong.

Instrumental

6. Frankie pulled out a pistol.
Pulled out a forty-four.
Gun went off a rootie-toot-toot
And Albert fell on the floor.
He was her man but he done her wrong.

7. Frankie got down upon her knees.
Took Albert into her lap.
Started to hug and kiss him.
But there was no bringin' him back.
He was her man but he done her wrong.

Instrumental

8. ""Gimme a thousand policemen.
Throw me into a cell.
I shot my Albert dead.
And now I'm goin' to hell.
He was her man but he done me wrong.""

9. Judge said to the jury.
""Plain as a thing can be.
A woman shot her lover down.
Murder in the second degree.""
He was her man but he done her wrong.

Instrumental

10. Frankie went to the scaffold.
Calm as a girl could be.
Turned her eyes up towards the heavens.
Said, ""Nearer, my God, to Thee.""
He was her man but he done her wrong."
18794,/bob-dylan/,Freight Train Blues,"I was born in Dixie in a boomer's shack,
Just a little shanty by the railroad track
Freight train was it taught me how to cry,
The holler of the driver was my lullaby.
I've got the freight train blues (hee, hee, hoo)
Oh, lawdy mama got em on the bottom of my ramblin'
shoes

And when the whistle blows, I gotta go
Baby don't you know
It looks like I'm never gonna lose
The freight train blues.

Well, my daddy was a fireman and my mama hear
She was the only daughter of the engineer
My sweetheart loved the brakeman and that ain't no
joke
Its a shame the way she keeps a good man broke.
I got the freight train blues (hee, hee, hoo)
Oh, lawdy I got em in the bottom of my ramblin' shoes

And when the whistle blows, I gotta go
Oh mama don't you know
Well it looks like I'm never gonna lose
The freight train blues.

Well, the only thing that makes you laugh again
Is a south bound whistle on a south bound train
Every place I want to go
I never can go because you know
Because I got the freight train blues (hee, hee, hoo)
Oh, lawdy mama, got em on the bottom of my ramblin'
shoes"
